ClientName,ProjectName,PinNumber
Schneider Electric,E-learning - Pareto Approach quality,CN/1046/33531
Schneider Electric,Upstream Lead Time Reliability,CN/1046/33625
Schneider Electric,PES OCP and NPP,CN/1046/33626
"Integrated Performance Solutions, Inc.",updates to localization project ,US/1047/34174
DBS Bank,Induction course updates - multiple,IN/1060/33515
Active IQ Academy,Pages for animation,GB/1324/33660
Jubilant Life Sciences Ltd.,SCORM of Marathi course,IN/1336/33558
ToolingU/1,Testing of players in live environment,US/1343/22981
ToolingU/1,Estimates for captivate course,US/1343/33650
Ellucian,CRM Advance Select Updates,US/21689/34244
Ellucian,Content Development -RFP,US/21689/33859
Tooling University,CAT Player Changes,US/1020/1717
Schneider Electric,MM tool,CN/1046/1056
Schneider Electric,SIOP step 1,CN/1046/1057
Schneider Electric,Automobile Safety - change request,CN/1046/1071
Schneider Electric,SIOP 1 - localization,CN/1046/1131
Schneider Electric,Industrialization Quality Approach,CN/1046/1188
Schneider Electric,Supply Risk Management eLearning,CN/1046/1191
Schneider Electric,ABC FMR,CN/1046/1200
Schneider Electric,Downstream SChain PMP,CN/1046/1201
Schneider Electric,Should-Cost Introduction,CN/1046/1202
Schneider Electric,Introduction to quality audit,CN/1046/1204
Schneider Electric,SIOP step 2 CR,CN/1046/1251
Schneider Electric,Radar,CN/1046/1297
Schneider Electric,PLEASE course,CN/1046/1298
Schneider Electric,8D- russian AR,CN/1046/1357
Schneider Electric,Supplier Approval,CN/1046/1437
Schneider Electric,Kaizen Methodology,CN/1046/1507
Schneider Electric,Risk Management for Solutions Purchasing,CN/1046/1624
Schneider Electric,Healthy Stock,CN/1046/1937
Schneider Electric,Machine Safety,CN/1046/1938
Schneider Electric,Mechanical Materials Handling,CN/1046/1939
Schneider Electric,One MM Tool,CN/1046/1940
Schneider Electric,PLEASE course,CN/1046/1943
Schneider Electric,SIOP for All (Localization),CN/1046/1944
Schneider Electric,Warehouse Management Awareness,CN/1046/1945
Schneider Electric,Schneider Supplier Leader,CN/1046/1966
Schneider Electric,CLO,CN/1046/1967
Schneider Electric,Customer Process Capabilities,CN/1046/1968
Schneider Electric,VSM Awareness,CN/1046/1969
Schneider Electric,SIOP for all Video subtitling,CN/1046/2177
Schneider Electric,SIOP 3,CN/1046/2318
Schneider Electric,Process Flow Improvement,CN/1046/2319
Schneider Electric,updates to ARIBA and PUMA,CN/1046/2394
Schneider Electric,Industrial Business Continuity and Risk Management,CN/1046/2650
Schneider Electric,Purchasing Excellence System,CN/1046/2653
Schneider Electric,SSQM - updates,CN/1046/22809
Schneider Electric,SIOP - French localization,CN/1046/22888
Schneider Electric,Healthy stock revamp,CN/1046/23101
Schneider Electric,Localization of 4 courses in Russian,CN/1046/33193
Schneider Electric,PES Non-Prod Purchasing,CN/1046/33675
Schneider Electric,PES Offer Creation,CN/1046/33677
Schneider Electric,Automobile Safety - Finnish ,CN/1046/34288
"Integrated Performance Solutions, Inc.",Internal Training-Requirements and Disclosure ,US/1047/1058
"Integrated Performance Solutions, Inc.",Disney RIM localization,US/1047/1067
"Integrated Performance Solutions, Inc.",First Aid - updates,US/1047/1068
"Integrated Performance Solutions, Inc.",Using the Meeting Information Screen Practice,US/1047/1102
"Integrated Performance Solutions, Inc.",Flash to Storyline conversion Effectively Communicating the CareCredit Healthcare Credit Card,US/1047/1130
"Integrated Performance Solutions, Inc.",Meeting Information Simulation - CR,US/1047/1154
"Integrated Performance Solutions, Inc.",RIM policy document,US/1047/1323
"Integrated Performance Solutions, Inc.",ATT Market Pay flash ,US/1047/1391
"Integrated Performance Solutions, Inc.",Disney RIM localization - CR,US/1047/1410
"Integrated Performance Solutions, Inc.",Treasury Workstation - AR,US/1047/1625
"Integrated Performance Solutions, Inc.",TWS audio revisions,US/1047/2060
"Integrated Performance Solutions, Inc.",Russial localization - RIM,US/1047/2594
"Integrated Performance Solutions, Inc.",RIM localization CR,US/1047/2106
"Integrated Performance Solutions, Inc.",Synchrony - Financing Overview,US/1047/2299
SourceSkills Ltd,IT testing - SOW 513,IE/1053/1086
SourceSkills Ltd,It testing - 11 courses,IE/1053/1331
SourceSkills Ltd,French IT L10N course testing,IE/1053/1332
SourceSkills Ltd,SPECIAL IT testing and QA ,IE/1053/1333
SourceSkills Ltd,527 german,IE/1053/1387
SourceSkills Ltd,528 special IT,IE/1053/1388
SourceSkills Ltd,IT testing SOW 536,IE/1053/1480
SourceSkills Ltd,537 - Desktop Audio and functional QA,IE/1053/1537
SourceSkills Ltd,543 - BI testing,IE/1053/1551
SourceSkills Ltd,544 - BC testing,IE/1053/1552
SourceSkills Ltd,SOW 548,IE/1053/1663
SourceSkills Ltd,SOW 556 - BI and BC testing,IE/1053/1858
Interactive Services,YM15 KFC Social Media ,IE/1056/2110
Interactive Services,CG15U Colgate Selling Skills for Success,IE/1056/2230
Interactive Services,HY02 Hershey's Dart ,IE/1056/2315
Interactive Services,IN84U Intel Antitrust redesign and localization,IE/1056/2368
Interactive Services,BN01 BNY Mellon - Mission 2,IE/1056/2375
Interactive Services,BN01 BNY Mellon - Mission 3,IE/1056/2383
Interactive Services,IN56 Intel ISA for Developers,IE/1056/2397
Interactive Services,CG10 Colgate Ecommerce 101 - Redeveloped ,IE/1056/2414
Interactive Services,CG17 Promotion and Learning Development Toolkit,IE/1056/2437
Interactive Services,YM13 YUM KFC ARL Batch 1,IE/1056/2439
Interactive Services,IN80 Technology Standards learning - Chameleon ,IE/1056/2473
Interactive Services,WM190U Walmart Anti-Kickback,IE/1056/2474
Interactive Services,HY01 Hershey's - Manufacturing Module 2B Refiner,IE/1056/2552
Interactive Services,HY01 Hershey's - Manufacturing Module 2A Refiner,IE/1056/2553
Interactive Services,HY01 Hershey's - Manufacturing Module 7 Tempering,IE/1056/2577
Interactive Services,"MS18 Morgan Stanley Transitions E2,E6 Modules",IE/1056/2578
Interactive Services,WM195U (old wm128),IE/1056/2610
Interactive Services,HY04 Hershey Food Safety ,IE/1056/2627
Interactive Services,AL29 Boost Sales Steam Turbine,IE/1056/2647
Interactive Services,WM175 Walmart Pathways Game Conversions,IE/1056/2649
Interactive Services,WM194 Walmart Benefits Plus Assessment ,IE/1056/2676
Interactive Services,DL62 Deloitte Sports - Module 1 ,IE/1056/2687
Interactive Services,DL62 Deloitte Airlines - Module 2,IE/1056/2688
Interactive Services,MS22 Morgan Stanley Conflicts of Interest ,IE/1056/2689
Interactive Services,MS24U Morgan Stanley Code of Conduct ,IE/1056/2690
Interactive Services,YM13 YUM KFC ARL Batch 2,IE/1056/2695
Interactive Services,DL70 Deloitte Eminence 101 ,IE/1056/2696
Interactive Services,DL69 Deloitte Biennial Training 2015,IE/1056/2697
Interactive Services,YM13 YUM KFC ARL Batch 3,IE/1056/2716
Interactive Services,HY01 Hershey's Manufacturing M2C Refiner Operator,IE/1056/2717
Interactive Services,HY01 Hershey's Manufacturing M2D Refiner Operator,IE/1056/2718
Interactive Services,HY01 Hershey's Manufacturing M3 Control Room,IE/1056/2719
Interactive Services,HY01 Hershey's Manufacturing M2E Refiner Operator,IE/1056/2720
